train_leads.py gs
Calling the run method
[136][136/400][1/1] | loss: 2.652e-02 | loss_train: 9.702e-03 | loss_e0: 2.762e-02 | loss_e1: 3.063e-02 | loss_e2: 2.130e-02
[137][137/400][1/1] | loss: 2.908e-02 | loss_train: 6.851e-03 | loss_e0: 2.823e-02 | loss_e1: 3.790e-02 | loss_e2: 2.111e-02
[138][138/400][1/1] | loss: 3.330e-02 | loss_train: 7.853e-03 | loss_e0: 2.965e-02 | loss_e1: 4.880e-02 | loss_e2: 2.146e-02
[139][139/400][1/1] | loss: 3.928e-02 | loss_train: 1.005e-02 | loss_e0: 3.348e-02 | loss_e1: 6.067e-02 | loss_e2: 2.368e-02
[140][140/400][1/1] | loss: 4.017e-02 | loss_train: 7.473e-03 | loss_e0: 3.459e-02 | loss_e1: 6.167e-02 | loss_e2: 2.427e-02
[141][141/400][1/1] | loss: 3.706e-02 | loss_train: 9.085e-03 | loss_e0: 3.196e-02 | loss_e1: 5.711e-02 | loss_e2: 2.212e-02
[142][142/400][1/1] | loss: 3.272e-02 | loss_train: 6.945e-03 | loss_e0: 2.939e-02 | loss_e1: 4.795e-02 | loss_e2: 2.081e-02
[143][143/400][1/1] | loss: 3.000e-02 | loss_train: 7.733e-03 | loss_e0: 2.919e-02 | loss_e1: 3.977e-02 | loss_e2: 2.105e-02
[144][144/400][1/1] | loss: 3.026e-02 | loss_train: 8.393e-03 | loss_e0: 3.181e-02 | loss_e1: 3.458e-02 | loss_e2: 2.439e-02
[145][145/400][1/1] | loss: 2.517e-02 | loss_train: 7.943e-03 | loss_e0: 2.601e-02 | loss_e1: 2.969e-02 | loss_e2: 1.982e-02
[146][146/400][1/1] | loss: 2.550e-02 | loss_train: 6.765e-03 | loss_e0: 2.563e-02 | loss_e1: 3.095e-02 | loss_e2: 1.991e-02
[147][147/400][1/1] | loss: 2.597e-02 | loss_train: 8.466e-03 | loss_e0: 2.553e-02 | loss_e1: 3.246e-02 | loss_e2: 1.993e-02
[148][148/400][1/1] | loss: 2.534e-02 | loss_train: 7.455e-03 | loss_e0: 2.485e-02 | loss_e1: 3.149e-02 | loss_e2: 1.969e-02
[149][149/400][1/1] | loss: 2.709e-02 | loss_train: 6.709e-03 | loss_e0: 2.536e-02 | loss_e1: 3.189e-02 | loss_e2: 2.404e-02
[150][150/400][1/1] | loss: 3.877e-02 | loss_train: 7.698e-03 | loss_e0: 3.302e-02 | loss_e1: 3.719e-02 | loss_e2: 4.608e-02

Print loss test
: [0.05697229877114296, 0.08294340968132019, 0.052251026034355164, 0.06565409153699875, 0.0788864940404892, 0.050873175263404846, 0.04893600195646286, 0.05057758837938309, 0.06003717705607414, 0.054434243589639664, 0.07440449297428131, 0.05915644392371178, 0.05318088084459305, 0.055582206696271896, 0.06418709456920624, 0.050012215971946716, 0.06475110352039337, 0.05170353874564171, 0.06927725672721863, 0.05661030486226082, 0.07001875340938568, 0.04834325239062309, 0.06176265701651573, 0.07455550134181976, 0.04833164066076279, 0.04449835792183876, 0.05149741843342781, 0.057075660675764084, 0.06028742715716362, 0.07014927268028259, 0.0539884977042675, 0.05582060664892197]
[150][150/400][1/1] | loss_test_mean: 5.927e-02 | loss_test_std: 9.736e-03
[151][151/400][1/1] | loss: 5.332e-02 | loss_train: 8.502e-03 | loss_e0: 4.377e-02 | loss_e1: 4.664e-02 | loss_e2: 6.954e-02
[152][152/400][1/1] | loss: 3.861e-02 | loss_train: 7.115e-03 | loss_e0: 3.245e-02 | loss_e1: 4.682e-02 | loss_e2: 3.655e-02
[153][153/400][1/1] | loss: 2.997e-02 | loss_train: 6.726e-03 | loss_e0: 2.552e-02 | loss_e1: 4.340e-02 | loss_e2: 2.098e-02
[154][154/400][1/1] | loss: 2.904e-02 | loss_train: 6.933e-03 | loss_e0: 2.432e-02 | loss_e1: 4.397e-02 | loss_e2: 1.881e-02
[155][155/400][1/1] | loss: 3.055e-02 | loss_train: 1.040e-02 | loss_e0: 2.438e-02 | loss_e1: 4.863e-02 | loss_e2: 1.865e-02
[156][156/400][1/1] | loss: 2.840e-02 | loss_train: 7.157e-03 | loss_e0: 2.392e-02 | loss_e1: 4.282e-02 | loss_e2: 1.846e-02
