Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[79][79/1000][1/1] | loss: 6.136e-02 | loss_train: 1.831e-02 | loss_e0: 1.332e-02 | loss_e1: 1.802e-01 | loss_e2: 4.102e-03 | loss_e3: 8.124e-04 | loss_e4: 1.619e-01 | loss_e5: 7.869e-03
[80][80/1000][1/1] | loss: 5.264e-02 | loss_train: 2.215e-02 | loss_e0: 1.364e-02 | loss_e1: 1.562e-01 | loss_e2: 4.058e-03 | loss_e3: 8.941e-04 | loss_e4: 1.309e-01 | loss_e5: 1.019e-02
[81][81/1000][1/1] | loss: 3.940e-02 | loss_train: 1.556e-02 | loss_e0: 1.422e-02 | loss_e1: 1.151e-01 | loss_e2: 4.166e-03 | loss_e3: 1.035e-03 | loss_e4: 9.220e-02 | loss_e5: 9.675e-03
[82][82/1000][1/1] | loss: 3.086e-02 | loss_train: 1.608e-02 | loss_e0: 1.420e-02 | loss_e1: 1.055e-01 | loss_e2: 4.262e-03 | loss_e3: 1.162e-03 | loss_e4: 5.520e-02 | loss_e5: 4.887e-03
[83][83/1000][1/1] | loss: 3.141e-02 | loss_train: 1.503e-02 | loss_e0: 1.401e-02 | loss_e1: 1.161e-01 | loss_e2: 4.298e-03 | loss_e3: 1.258e-03 | loss_e4: 4.698e-02 | loss_e5: 5.785e-03
[84][84/1000][1/1] | loss: 3.722e-02 | loss_train: 1.944e-02 | loss_e0: 1.395e-02 | loss_e1: 1.428e-01 | loss_e2: 4.290e-03 | loss_e3: 1.285e-03 | loss_e4: 5.011e-02 | loss_e5: 1.089e-02
[85][85/1000][1/1] | loss: 3.599e-02 | loss_train: 1.465e-02 | loss_e0: 1.402e-02 | loss_e1: 1.282e-01 | loss_e2: 4.298e-03 | loss_e3: 1.247e-03 | loss_e4: 5.634e-02 | loss_e5: 1.181e-02
[86][86/1000][1/1] | loss: 3.380e-02 | loss_train: 1.361e-02 | loss_e0: 1.421e-02 | loss_e1: 1.133e-01 | loss_e2: 4.386e-03 | loss_e3: 1.142e-03 | loss_e4: 6.202e-02 | loss_e5: 7.762e-03
[87][87/1000][1/1] | loss: 3.395e-02 | loss_train: 1.378e-02 | loss_e0: 1.434e-02 | loss_e1: 1.127e-01 | loss_e2: 4.482e-03 | loss_e3: 1.031e-03 | loss_e4: 6.647e-02 | loss_e5: 4.704e-03
[88][88/1000][1/1] | loss: 3.535e-02 | loss_train: 1.238e-02 | loss_e0: 1.400e-02 | loss_e1: 1.167e-01 | loss_e2: 4.459e-03 | loss_e3: 9.254e-04 | loss_e4: 7.103e-02 | loss_e5: 4.950e-03
